propagator;branchers;runtime;solutions;propagations;nodes;failures;restarts;no-goods;peak depth
7;3;0.302;1;125065;13792;2406;0;0;10;
7;3;0.197;1;95111;10615;2199;0;0;10;
7;3;0.210;1;95443;11046;2262;0;0;10;
7;3;0.248;1;120938;13280;2398;0;0;10;
7;3;0.267;1;125426;13640;2402;0;0;10;
7;3;0.243;1;126742;13918;2403;0;0;10;
7;3;0.188;1;70149;8397;2094;0;0;10;
7;3;0.198;1;76995;9391;2121;0;0;10;
7;3;0.278;1;129650;14012;2398;0;0;10;
7;3;0.252;1;127515;13962;2406;0;0;10;
7;3;0.173;1;70766;8744;2134;0;0;10;
7;3;0.264;1;128807;14168;2402;0;0;10;
7;3;0.249;1;133412;14349;2398;0;0;10;
7;3;0.183;1;83367;9868;2169;0;0;10;
7;3;0.190;1;69330;8239;2094;0;0;10;
7;3;0.256;1;127594;14137;2433;0;0;10;
7;3;0.223;1;109345;12978;2228;0;0;10;
7;3;0.218;1;88043;10340;2222;0;0;10;
7;3;0.247;1;122875;13436;2398;0;0;10;
7;3;0.261;1;130755;14158;2398;0;0;10;
7;3;0.274;1;134315;14844;2417;0;0;10;
7;3;0.266;1;124805;13574;2395;0;0;10;
7;3;0.200;1;94313;10826;2226;0;0;10;
7;3;0.230;1;123273;13502;2403;0;0;10;
7;3;0.227;1;101916;11438;2290;0;0;10;
7;3;0.229;1;120728;13272;2398;0;0;10;
7;3;0.228;1;106722;11878;2300;0;0;10;
7;3;0.244;1;132502;14570;2411;0;0;10;
7;3;0.207;1;102609;12202;2238;0;0;10;
7;3;0.247;1;134924;14421;2402;0;0;10;
7;3;0.268;1;136127;14577;2403;0;0;10;
7;3;0.253;1;126303;13812;2411;0;0;10;
7;3;0.247;1;134602;14445;2398;0;0;10;
7;3;0.239;1;101524;12210;2232;0;0;10;
7;3;0.194;1;73389;8811;2111;0;0;10;
7;3;0.270;1;126119;13795;2389;0;0;10;
7;3;0.249;1;130411;14138;2402;0;0;10;
7;3;0.213;1;101960;11873;2139;0;0;10;
7;3;0.191;1;74418;8942;2122;0;0;10;
7;3;0.206;1;75661;9140;2102;0;0;10;
7;3;0.259;1;120664;13226;2398;0;0;10;
7;3;0.256;1;126728;13936;2403;0;0;10;
7;3;0.213;1;93695;10711;2242;0;0;10;
7;3;0.183;1;77266;9280;2122;0;0;10;
7;3;0.247;1;124259;13636;2398;0;0;10;
7;3;0.233;1;121508;13338;2398;0;0;10;
7;3;0.254;1;130118;14073;2399;0;0;10;
7;3;0.240;1;127155;13779;2401;0;0;10;
7;3;0.275;1;135473;14430;2402;0;0;10;
7;3;0.261;1;128933;14013;2402;0;0;10;
7;3;0.279;1;123866;13522;2398;0;0;10;
7;3;0.252;1;124146;13527;2389;0;0;10;
7;3;0.198;1;74279;8730;2095;0;0;10;
7;3;0.233;1;121709;13313;2398;0;0;10;
7;3;0.261;1;133675;14556;2408;0;0;10;
7;3;0.250;1;130985;14168;2398;0;0;10;
7;3;0.251;1;125324;13670;2398;0;0;10;
7;3;0.249;1;129096;14051;2403;0;0;10;
7;3;0.271;1;129621;14078;2403;0;0;10;
7;3;0.248;1;127294;13826;2400;0;0;10;
7;3;0.246;1;121921;13345;2398;0;0;10;
7;3;0.242;1;124880;13607;2398;0;0;10;
7;3;0.203;1;90232;10282;2267;0;0;10;
7;3;0.255;1;127278;13656;2380;0;0;10;
7;3;0.239;1;128413;13997;2403;0;0;10;
7;3;0.264;1;117716;14144;2236;0;0;10;
7;3;0.251;1;126526;13764;2397;0;0;10;
7;3;0.247;1;123229;13355;2398;0;0;10;
7;3;0.248;1;128099;13975;2402;0;0;10;
7;3;0.251;1;131329;14149;2398;0;0;10;
7;3;0.260;1;126595;13485;2380;0;0;10;
7;3;0.266;1;133684;14492;2403;0;0;10;
7;3;0.261;1;132783;14302;2402;0;0;10;
7;3;0.262;1;134809;14748;2411;0;0;10;
7;3;0.199;1;70603;8513;2094;0;0;10;
7;3;0.165;1;70211;8456;2094;0;0;10;
7;3;0.262;1;135601;14531;2398;0;0;10;
7;3;0.283;1;121940;13335;2398;0;0;10;
7;3;0.239;1;128698;14001;2403;0;0;10;
7;3;0.251;1;131162;14232;2409;0;0;10;
7;3;0.259;1;123590;13535;2398;0;0;10;
7;3;0.254;1;132645;14356;2407;0;0;10;
7;3;0.277;1;134658;14574;2408;0;0;10;
7;3;0.218;1;110768;12178;2351;0;0;10;
7;3;0.263;1;136779;14635;2401;0;0;10;
7;3;0.177;1;71262;8432;2094;0;0;10;
7;3;0.275;1;136066;14757;2412;0;0;10;
7;3;0.179;1;74056;8899;2094;0;0;10;
7;3;0.239;1;127403;13957;2398;0;0;10;
7;3;0.182;1;69906;8401;2094;0;0;10;
7;3;0.230;1;115959;12744;2398;0;0;10;
7;3;0.198;1;84806;9654;2270;0;0;10;
7;3;0.255;1;127015;13885;2406;0;0;10;
7;3;0.265;1;116036;14010;2226;0;0;10;
7;3;0.241;1;123214;13487;2398;0;0;10;
7;3;0.265;1;131956;14406;2400;0;0;10;
7;3;0.225;1;95244;10562;2252;0;0;10;
7;3;0.251;1;127643;13865;2398;0;0;10;
7;3;0.249;1;134387;14526;2403;0;0;10;
7;3;0.208;1;100882;11690;2265;0;0;10;
