propagator;branchers;runtime;solutions;propagations;nodes;failures;restarts;no-goods;peak depth
7;3;0.134;1;48681;6289;1724;0;0;10;
7;3;0.104;1;47384;6189;1774;0;0;10;
7;3;0.093;1;55135;7129;1998;0;0;10;
7;3;0.070;1;47944;6233;1771;0;0;10;
7;3;0.083;1;47269;6173;1772;0;0;10;
7;3;0.096;1;55230;7082;1914;0;0;10;
7;3;0.082;1;47888;6203;1723;0;0;10;
7;3;0.084;1;55753;7226;1986;0;0;10;
7;3;0.106;1;58680;7582;2128;0;0;10;
7;3;0.127;1;56146;7317;2105;0;0;10;
7;3;0.087;1;58909;7616;2156;0;0;10;
7;3;0.086;1;58468;7588;2146;0;0;10;
7;3;0.111;1;57883;7514;2150;0;0;10;
7;3;0.106;1;56148;7336;2104;0;0;10;
7;3;0.084;1;56040;7306;2110;0;0;10;
7;3;0.096;1;58723;7605;2148;0;0;10;
7;3;0.085;1;58018;7500;2124;0;0;10;
7;3;0.111;1;66702;8533;2455;0;0;10;
7;3;0.097;1;66909;8571;2463;0;0;10;
7;3;0.109;1;62322;8053;2303;0;0;10;
7;3;0.099;1;64204;8250;2380;0;0;10;
7;3;0.113;1;65589;8470;2437;0;0;10;
7;3;0.111;1;66892;8549;2450;0;0;10;
7;3;0.096;1;65716;8471;2442;0;0;10;
7;3;0.117;1;66076;8482;2476;0;0;10;
7;3;0.090;1;59798;7674;2565;0;0;10;
7;3;0.101;1;56456;7276;2450;0;0;10;
7;3;0.087;1;58781;7574;2566;0;0;10;
7;3;0.088;1;56909;7302;2465;0;0;10;
7;3;0.088;1;59975;7710;2566;0;0;10;
7;3;0.098;1;66768;8426;2750;0;0;10;
7;3;0.088;1;58409;7516;2564;0;0;10;
7;3;0.109;1;68437;8497;2730;0;0;10;
7;3;0.092;1;60581;7799;2687;0;0;10;
7;3;0.091;1;60711;7810;2688;0;0;10;
7;3;0.135;1;93797;12242;2934;0;0;10;
7;3;0.137;1;95007;12402;2956;0;0;10;
7;3;0.153;1;95547;12537;2948;0;0;10;
7;3;0.142;1;98346;12777;2999;0;0;10;
7;3;0.138;1;95342;12464;2956;0;0;10;
7;3;0.159;1;94856;12458;2962;0;0;10;
7;3;0.138;1;86949;11335;2793;0;0;10;
7;3;0.060;1;32225;4509;1711;0;0;10;
7;3;0.059;1;32394;4554;1710;0;0;10;
7;3;0.051;1;32061;4522;1708;0;0;10;
7;3;0.050;1;32392;4531;1710;0;0;10;
7;3;0.051;1;32387;4549;1715;0;0;10;
7;3;0.054;1;31991;4547;1704;0;0;10;
7;3;0.051;1;32179;4529;1707;0;0;10;
7;3;0.050;1;32099;4523;1709;0;0;10;
7;3;0.051;1;32288;4538;1704;0;0;10;
7;3;0.051;1;33058;4594;1715;0;0;10;
7;3;0.050;1;31713;4483;1712;0;0;10;
7;3;0.052;1;33992;4709;1735;0;0;10;
7;3;0.054;1;34455;4783;1761;0;0;10;
7;3;0.065;1;34144;4847;1815;0;0;10;
7;3;0.053;1;32251;4583;1712;0;0;10;
7;3;0.085;1;58488;7439;2238;0;0;10;
7;3;0.113;1;60656;7729;2282;0;0;10;
7;3;0.098;1;65509;8342;2512;0;0;10;
7;3;0.104;1;58344;7431;2241;0;0;10;
7;3;0.095;1;60451;7689;2284;0;0;10;
7;3;0.084;1;58333;7435;2238;0;0;10;
7;3;0.094;1;58606;7475;2239;0;0;10;
7;3;0.093;1;63806;8091;2394;0;0;10;
7;3;0.096;1;64632;8170;2402;0;0;10;
7;3;0.092;1;63794;8091;2399;0;0;10;
7;3;0.161;1;95965;11923;2849;0;0;10;
7;3;0.136;1;96283;11947;2863;0;0;10;
7;3;0.135;1;93512;11685;2822;0;0;10;
7;3;0.156;1;93081;11626;2809;0;0;10;
7;3;0.140;1;98921;12279;2887;0;0;10;
7;3;0.157;1;97920;12189;2873;0;0;10;
7;3;0.077;1;52009;6742;2211;0;0;9;
7;3;0.078;1;52430;6782;2211;0;0;9;
7;3;0.084;1;57145;7320;2409;0;0;9;
7;3;0.076;1;52054;6764;2281;0;0;9;
7;3;0.096;1;52859;6858;2255;0;0;9;
7;3;0.083;1;56661;7265;2401;0;0;9;
7;3;0.096;1;48307;6329;2133;0;0;9;
7;3;0.084;1;52713;6843;2254;0;0;9;
7;3;0.078;1;52138;6780;2276;0;0;9;
7;3;0.091;1;59185;7561;2385;0;0;10;
7;3;0.083;1;56712;7299;2398;0;0;9;
7;3;0.081;1;56288;7190;2065;0;0;10;
7;3;0.081;1;55885;7153;2063;0;0;10;
7;3;0.081;1;56266;7188;2064;0;0;10;
7;3;0.083;1;53043;6827;1998;0;0;10;
7;3;0.085;1;55990;7167;2064;0;0;10;
7;3;0.082;1;57163;7267;2070;0;0;10;
7;3;0.082;1;57595;7318;2067;0;0;10;
7;3;0.091;1;57302;7313;2067;0;0;10;
7;3;0.081;1;56686;7230;2065;0;0;10;
7;3;0.093;1;50850;6559;1980;0;0;10;
7;3;0.080;1;54068;7187;2289;0;0;10;
7;3;0.090;1;53703;7146;2288;0;0;10;
7;3;0.080;1;54455;7226;2291;0;0;10;
7;3;0.079;1;53770;7154;2292;0;0;10;
7;3;0.083;1;50298;6500;1999;0;0;10;
7;3;0.081;1;53592;7103;2265;0;0;10;
